Name,Email,LastPaymentValue
User_1,user1@example.com,477.27
User_2,user2@example.com,872.62
User_3,user3@example.com,1151.35
User_4,user4@example.com,2492.62
User_5,user5@example.com,2065.37
User_6,user6@example.com,81.93
User_7,user7@example.com,4126.27
User_8,user8@example.com,724.83
User_9,user9@example.com,3452.97
User_10,user10@example.com,4003.53
User_11,user11@example.com,3413.08
User_12,user12@example.com,1119.74
User_13,user13@example.com,1003.46
User_14,user14@example.com,2520.9
User_15,user15@example.com,887.89
User_16,user16@example.com,1489.61
User_17,user17@example.com,41.28
User_18,user18@example.com,529.39
User_19,user19@example.com,4091.69
User_20,user20@example.com,3536.98
User_21,user21@example.com,1649.89
User_22,user22@example.com,1029.18
User_23,user23@example.com,4789.75
User_24,user24@example.com,440.24
User_25,user25@example.com,4512.15
User_26,user26@example.com,3810.8
User_27,user27@example.com,4354.57
User_28,user28@example.com,2024.97
User_29,user29@example.com,835.96
User_30,user30@example.com,3068.32
User_31,user31@example.com,1053.23
User_32,user32@example.com,2963.63
User_33,user33@example.com,3755.88
User_34,user34@example.com,4134.63
User_35,user35@example.com,2831.63
User_36,user36@example.com,4418.26
User_37,user37@example.com,3338.94
User_38,user38@example.com,2245.45
User_39,user39@example.com,1931.22
User_40,user40@example.com,3624.16
User_41,user41@example.com,1712.99
User_42,user42@example.com,2532.03
User_43,user43@example.com,4454.75
User_44,user44@example.com,4395.69
User_45,user45@example.com,860.86
User_46,user46@example.com,4240.62
User_47,user47@example.com,3847.69
User_48,user48@example.com,837.38
User_49,user49@example.com,3504.38
User_50,user50@example.com,277.03
User_51,user51@example.com,2271.24
User_52,user52@example.com,769.73
User_53,user53@example.com,1292.91
User_54,user54@example.com,3583.23
User_55,user55@example.com,3103.71
User_56,user56@example.com,4844.78
User_57,user57@example.com,3524.58
User_58,user58@example.com,4312.93
User_59,user59@example.com,3304.22
User_60,user60@example.com,3727.4
User_61,user61@example.com,1694.6
User_62,user62@example.com,2651.41
User_63,user63@example.com,1798.83
User_64,user64@example.com,911.06
User_65,user65@example.com,4580.69
User_66,user66@example.com,340.59
User_67,user67@example.com,3742.98
User_68,user68@example.com,1294.02
User_69,user69@example.com,3714.12
User_70,user70@example.com,2921.86
User_71,user71@example.com,3125.25
User_72,user72@example.com,3223.7
User_73,user73@example.com,3113.81
User_74,user74@example.com,4033.96
User_75,user75@example.com,739.64
User_76,user76@example.com,4251.75
User_77,user77@example.com,1197.97
User_78,user78@example.com,438.44
User_79,user79@example.com,1720.06
User_80,user80@example.com,1706.19
User_81,user81@example.com,308.66
User_82,user82@example.com,4087.95
User_83,user83@example.com,4828.1
User_84,user84@example.com,498.25
User_85,user85@example.com,2945.58
User_86,user86@example.com,3212.05
User_87,user87@example.com,4115.5
User_88,user88@example.com,577.1
User_89,user89@example.com,337.79
User_90,user90@example.com,1941.0
User_91,user91@example.com,937.53
User_92,user92@example.com,2160.98
User_93,user93@example.com,3748.6
User_94,user94@example.com,3798.08
User_95,user95@example.com,1871.19
User_96,user96@example.com,1265.49
User_97,user97@example.com,1450.71
User_98,user98@example.com,2599.81
User_99,user99@example.com,1868.67
User_100,user100@example.com,3341.28
User_101,user101@example.com,1597.52
User_102,user102@example.com,3046.07
User_103,user103@example.com,1806.97
User_104,user104@example.com,1061.06
User_105,user105@example.com,2946.1
User_106,user106@example.com,2159.85
User_107,user107@example.com,3509.78
User_108,user108@example.com,3216.21
User_109,user109@example.com,2162.54
User_110,user110@example.com,3014.91
User_111,user111@example.com,2724.05
User_112,user112@example.com,3289.18
User_113,user113@example.com,2006.42
User_114,user114@example.com,1630.97
User_115,user115@example.com,4743.45
User_116,user116@example.com,1781.46
User_117,user117@example.com,4920.19
User_118,user118@example.com,780.43
User_119,user119@example.com,1970.86
User_120,user120@example.com,641.43
User_121,user121@example.com,3205.86
User_122,user122@example.com,3768.45
User_123,user123@example.com,388.09
User_124,user124@example.com,3874.15
User_125,user125@example.com,414.67
User_126,user126@example.com,4049.93
User_127,user127@example.com,4075.89
User_128,user128@example.com,704.58
User_129,user129@example.com,2537.79
User_130,user130@example.com,1676.9
User_131,user131@example.com,4500.89
User_132,user132@example.com,328.22
User_133,user133@example.com,2789.66
User_134,user134@example.com,1478.69
User_135,user135@example.com,1867.4
User_136,user136@example.com,2789.35
User_137,user137@example.com,2332.89
User_138,user138@example.com,2922.71
User_139,user139@example.com,1266.75
User_140,user140@example.com,1880.72
User_141,user141@example.com,2875.07
User_142,user142@example.com,4168.84
User_143,user143@example.com,4735.6
User_144,user144@example.com,2178.87
User_145,user145@example.com,1025.87
User_146,user146@example.com,1675.58
User_147,user147@example.com,1074.41
User_148,user148@example.com,2010.76
User_149,user149@example.com,1495.44
User_150,user150@example.com,2995.25
User_151,user151@example.com,4068.18
User_152,user152@example.com,1353.68
User_153,user153@example.com,4058.08
User_154,user154@example.com,1482.26
User_155,user155@example.com,4744.04
User_156,user156@example.com,2544.37
User_157,user157@example.com,4375.41
User_158,user158@example.com,3251.22
User_159,user159@example.com,2421.3
User_160,user160@example.com,1302.44
User_161,user161@example.com,3038.94
User_162,user162@example.com,1238.94
User_163,user163@example.com,4823.16
User_164,user164@example.com,3615.64
User_165,user165@example.com,1048.34
User_166,user166@example.com,413.21
User_167,user167@example.com,2143.56
User_168,user168@example.com,59.84
User_169,user169@example.com,1229.85
User_170,user170@example.com,3846.44
User_171,user171@example.com,1569.11
User_172,user172@example.com,227.88
User_173,user173@example.com,2236.73
User_174,user174@example.com,1585.03
User_175,user175@example.com,1695.24
User_176,user176@example.com,3874.31
User_177,user177@example.com,3339.66
User_178,user178@example.com,3553.37
User_179,user179@example.com,2883.39
User_180,user180@example.com,4377.54
User_181,user181@example.com,3386.92
User_182,user182@example.com,1107.87
User_183,user183@example.com,840.86
User_184,user184@example.com,3576.67
User_185,user185@example.com,754.12
User_186,user186@example.com,1065.48
User_187,user187@example.com,1447.74
User_188,user188@example.com,2974.94
User_189,user189@example.com,4574.17
User_190,user190@example.com,1116.61
User_191,user191@example.com,1136.72
User_192,user192@example.com,2829.68
User_193,user193@example.com,1574.66
User_194,user194@example.com,3897.02
User_195,user195@example.com,1032.09
User_196,user196@example.com,4220.34
User_197,user197@example.com,2928.4
User_198,user198@example.com,193.19
User_199,user199@example.com,3090.43
User_200,user200@example.com,1109.47
User_201,user201@example.com,805.09
User_202,user202@example.com,3827.55
User_203,user203@example.com,3088.29
User_204,user204@example.com,4428.46
User_205,user205@example.com,2340.11
User_206,user206@example.com,271.31
User_207,user207@example.com,1181.07
User_208,user208@example.com,2900.15
User_209,user209@example.com,841.29
User_210,user210@example.com,3191.67
User_211,user211@example.com,4263.5
User_212,user212@example.com,4273.36
User_213,user213@example.com,3993.45
User_214,user214@example.com,2749.64
User_215,user215@example.com,918.17
User_216,user216@example.com,2817.34
User_217,user217@example.com,3399.2
User_218,user218@example.com,2763.98
User_219,user219@example.com,372.57
User_220,user220@example.com,237.83
User_221,user221@example.com,1354.76
User_222,user222@example.com,3336.69
User_223,user223@example.com,4190.44
User_224,user224@example.com,1977.31
User_225,user225@example.com,4593.22
User_226,user226@example.com,1704.49
User_227,user227@example.com,3540.11
User_228,user228@example.com,2225.76
User_229,user229@example.com,894.41
User_230,user230@example.com,1921.07
User_231,user231@example.com,4992.3
User_232,user232@example.com,4077.36
User_233,user233@example.com,1409.66
User_234,user234@example.com,1312.62
User_235,user235@example.com,489.85
User_236,user236@example.com,117.13
User_237,user237@example.com,2342.63
User_238,user238@example.com,4417.63
User_239,user239@example.com,3777.46
User_240,user240@example.com,3985.73
User_241,user241@example.com,4816.42
User_242,user242@example.com,3141.13
User_243,user243@example.com,1424.44
User_244,user244@example.com,4284.31
User_245,user245@example.com,2094.79
User_246,user246@example.com,2128.23
User_247,user247@example.com,1906.25
User_248,user248@example.com,111.12
User_249,user249@example.com,4316.19
User_250,user250@example.com,1259.33
User_251,user251@example.com,4278.49
User_252,user252@example.com,1823.82
User_253,user253@example.com,2391.81
User_254,user254@example.com,656.94
User_255,user255@example.com,3952.29
User_256,user256@example.com,2173.76
User_257,user257@example.com,3736.03
User_258,user258@example.com,3225.49
User_259,user259@example.com,1958.82
User_260,user260@example.com,54.52
User_261,user261@example.com,3103.45
User_262,user262@example.com,1700.36
User_263,user263@example.com,4496.74
User_264,user264@example.com,3005.28
User_265,user265@example.com,50.08
User_266,user266@example.com,4529.52
User_267,user267@example.com,516.83
User_268,user268@example.com,2369.48
User_269,user269@example.com,3024.12
User_270,user270@example.com,3966.21
User_271,user271@example.com,2147.44
